adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,"[27, 53, 10749]",724585,en,Birdemic 3: Sea Eagle,"Love blossoms between Evan and Kim in the coastal town of Santa Cruz, California but so does a flock of displaced sea eagles, who go on a rampage.",5.28,/5sriKCazFnnCyEI0hHozPjelYlw.jpg,2022-09-25,Birdemic 3: Sea Eagle,False,2,1
False,,[27],898770,en,The Wrath Within,"Five friends revisit their hometown for their high school reunion. Soon they will learn that their quiet Texas town is the home of a long, sinister curse.",5.449,,2022-10-31,The Wrath Within,False,0,0
False,/cUx3MGDd5J4sARcxWrVJC5rNJwQ.jpg,[27],856639,en,The Curse of La Patasola,"On a weekend camping trip, two struggling couples are haunted by La Patasola, a famed vampiric monster from Amazonian folklore, testing their relationships, morality, and will to survive.",5.596,/dJL9O1N9uESFQql3LNnROvBNZCy.jpg,2022-01-14,The Curse of La Patasola,False,6.2,8
False,,"[27, 35]",996761,en,Calling Nurse Meow,"A horror anthology film starring the U.K.'s own Tromette, Kitty Kiss, more commonly known as Nurse Meow.",5.45,/mtkIgZmOYmwEeXSD0QpZEdLhw8G.jpg,2022-10-31,Calling Nurse Meow,False,0,0
False,/6ybjw3pikDg68rVXsJEKF3ItpWH.jpg,"[27, 18]",843932,en,Nanny,"Aisha, an undocumented immigrant, lands a job as a nanny for a wealthy Manhattan couple. As she prepares for the arrival of the son she left behind in Senegal, a violent presence begins to invade both her dreams and her reality, threatening to destroy the American Dream she is painstakingly piecing together.",7.242,/8qioumLk62Ot1mh9Vom1TXYky6W.jpg,2022-11-23,Nanny,False,0,0
False,/awIkhEtFl88w2FGhcgtrhFur2WG.jpg,"[18, 27, 9648]",978651,en,The Razing,A group of estranged friends gather for a night of tradition which takes a deadly turn after old secrets and wounds resurface.,5.332,/AcApaEuDghZWFxnhlTyhd5aouRx.jpg,2022-09-26,The Razing,False,5.5,2
False,/bUhFtAwSJu3JKWRlLTLrZdAiRkE.jpg,[27],1005772,en,Jikirag,"A pagan village, founded on the bones of both innocent and foul, is deeply rooted within the heart of an ancient Eden. When a balance of flesh and soil decays, the last surviving village elder battles madness and the macabre to save her people from not only themselves, but the monstrous judgement that burrows up from below.",5.693,/yhK0h9KTrGSgp0CdsN9UOlg5YQI.jpg,2022-09-02,Jikirag,False,3,1
False,/Aofy5hjXRKDCsTXOHlEQRssPJun.jpg,[27],861069,en,Take Back the Night,"Finding herself the victim of a violent monster attack, Jane launches a vigilante campaign to hunt the beast that tried to kill her. Jane's efforts intensify, but her troubling history of drug use and mental illness bubbles to the surface causing her family, community, and authorities to question the authenticity of her account. Suddenly alone in her fight, Jane starts to doubt her own memory of the attack...to doubt if Monster exists at all.",4.879,/oPVzKscfDrOUZaGhz7BA8OfS5bB.jpg,2022-03-04,Take Back the Night,False,2.8,9
False,/8F8VwOXHMqTWofFwJYAdv7uMQry.jpg,"[35, 27, 14]",861035,lv,Sema ceļojumi,"Lost in remotest part of Eastern Europe, Sam is a foreigner, searching for his biological father Lagzdins where a minor road accident leads to a chance meeting with a pig-farmer's daughter, who captures him and makes him a forced laborer on the farm.",6.883,/1CZsCkaqXs3uJfIlhHbgUBN2Soh.jpg,2022-08-19,Squeal,False,6,2
False,/2ZvAbtvBsE0q0ApFY4PXFPNB9o5.jpg,"[27, 9648]",912391,en,Last Radio Call,"On June 30th, 2018, Officer David Serling went missing inside an undisclosed abandoned hospital. Using his recovered body cam footage, his wife attempts to piece together what happened to him on that horrible night.",4.835,/gXdu0JG4s1yjQg8XC0CTGMWXQWy.jpg,2022-01-14,Last Radio Call,False,6.1,25
